ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
GOOG,2021-05-05,2021-05-07,377.0,209.0,2380.0,79.0,85.0,0.323678398,GOOG,2021-05-05,117.84,119.11,117.57,118.42,21804000.0,2356.74,2382.2,2351.41,2368.42
GOOG,2021-05-12,2021-05-14,51.0,8.0,2272.5,76.0,6.0,0.327444304,GOOG,2021-05-12,111.95,114.27,111.5,113.08,34932000.0,2239.08,2285.37,2230.05,2261.71
GOOG,2021-05-19,2021-05-21,194.0,190.0,2315.0,153.0,24.0,0.374308848,GOOG,2021-05-19,115.44,115.84,113.18,113.69,19350000.0,2308.71,2316.76,2263.52,2273.78
GOOG,2021-05-26,2021-05-28,227.0,210.0,2440.0,213.0,97.0,0.468423414,GOOG,2021-05-26,121.68,122.15,120.63,120.64,21856000.0,2433.53,2442.94,2412.52,2412.84
GOOG,2021-06-02,2021-06-04,324.0,705.0,2440.0,152.0,29.0,0.239927078,GOOG,2021-06-02,121.06,122.1,120.21,121.77,17162000.0,2421.28,2442.0,2404.2,2435.31
GOOG,2021-06-09,2021-06-11,241.0,124.0,2505.0,82.0,11.0,0.373468937,GOOG,2021-06-09,124.57,125.25,124.37,124.98,20126000.0,2491.4,2505.0,2487.33,2499.5
GOOG,2021-06-16,2021-06-18,250.0,255.0,2530.0,60.0,63.0,0.394215758,GOOG,2021-06-16,125.7,126.52,124.15,126.25,26316000.0,2513.93,2530.47,2483.0,2524.95
GOOG,2021-06-23,2021-06-25,206.0,193.0,2540.0,87.0,446.0,0.424183976,GOOG,2021-06-23,126.46,127.8,126.25,126.55,19692000.0,2529.23,2555.92,2525.04,2531.0
GOOG,2021-06-30,2021-07-02,226.0,85.0,2510.0,272.0,162.0,0.536302569,GOOG,2021-06-30,125.32,125.8,124.76,125.65,24008000.0,2506.32,2516.0,2495.15,2513.07
GOOG,2021-07-07,2021-07-09,336.0,224.0,2610.0,8.0,38.0,0.461086505,GOOG,2021-07-07,130.08,130.64,129.76,130.34,16682000.0,2601.55,2612.8,2595.2,2606.82
GOOG,2021-07-14,2021-07-16,1219.0,949.0,2650.0,16.0,481.0,0.47406601,GOOG,2021-07-14,132.08,133.0,131.9,131.9,17918000.0,2641.65,2659.92,2637.96,2638.03
GOOG,2021-07-21,2021-07-23,404.0,417.0,2650.0,39.0,38.0,0.44399185,GOOG,2021-07-21,132.6,132.62,130.6,130.79,14740000.0,2652.01,2652.34,2612.03,2615.74
GOOG,2021-07-28,2021-07-30,475.0,80.0,2790.0,21.0,50.0,0.178405745,GOOG,2021-07-28,136.38,139.68,136.35,138.56,54688000.0,2727.63,2793.52,2727.0,2771.24
GOOG,2021-08-04,2021-08-06,161.0,194.0,2725.0,75.0,56.0,0.478820817,GOOG,2021-08-04,136.03,136.54,135.42,136.25,16526000.0,2720.57,2730.76,2708.3,2724.99
