index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
46.0,AMD,2020-10-07,2020-10-09,16555.0,5450.0,87.0,441.0,2653.0,0.463422713,AMD,2020-10-07,86.69,87.79,85.65,86.1,42983847.0,86.69,87.79,85.65,86.1
69.0,AMD,2020-10-14,2020-10-16,8607.0,6761.0,84.0,5282.0,4961.0,0.579094434,AMD,2020-10-14,84.21,85.96,83.46,85.86,40424503.0,84.21,85.96,83.46,85.86
21.0,AMD,2020-10-21,2020-10-23,7193.0,2441.0,80.0,8240.0,8144.0,0.435084407,AMD,2020-10-21,79.2,81.93,79.19,81.72,36358841.0,79.2,81.93,79.19,81.72
35.0,AMD,2020-10-28,2020-10-30,13382.0,6350.0,78.0,9081.0,3177.0,0.359626154,AMD,2020-10-28,76.4,78.96,75.76,78.73,76478831.0,76.4,78.96,75.76,78.73
44.0,AMD,2020-11-04,2020-11-06,18059.0,3845.0,81.0,717.0,5360.0,0.52546376,AMD,2020-11-04,81.35,81.85,78.97,80.25,66534781.0,81.35,81.85,78.97,80.25
39.0,AMD,2020-11-11,2020-11-13,11455.0,4781.0,81.0,1652.0,1683.0,0.553410434,AMD,2020-11-11,81.28,81.47,78.97,79.39,44528102.0,81.28,81.47,78.97,79.39
45.0,AMD,2020-11-18,2020-11-20,1988.0,4322.0,82.5,5947.0,4320.0,0.549117908,AMD,2020-11-18,82.54,83.96,82.22,83.01,29942522.0,82.54,83.96,82.22,83.01
36.0,AMD,2020-11-25,2020-11-27,24250.0,5729.0,87.0,781.0,7545.0,0.440938793,AMD,2020-11-25,86.71,87.84,85.52,85.76,41327609.0,86.71,87.84,85.52,85.76
46.0,AMD,2020-12-02,2020-12-04,32366.0,6713.0,94.0,537.0,8745.0,0.487400417,AMD,2020-12-02,93.74,96.37,92.52,92.89,57950237.0,93.74,96.37,92.52,92.89
49.0,AMD,2020-12-09,2020-12-11,26448.0,8633.0,94.0,3251.0,2072.0,0.152804504,AMD,2020-12-09,89.83,94.7,89.16,92.76,52109028.0,89.83,94.7,89.16,92.76
49.0,AMD,2020-12-16,2020-12-18,20198.0,9290.0,97.0,2495.0,4125.0,0.502145688,AMD,2020-12-16,96.85,97.27,95.46,97.04,34893625.0,96.85,97.27,95.46,97.04
42.0,AMD,2020-12-23,2020-12-24,19999.0,6039.0,93.0,3044.0,1906.0,0.27467813,AMD,2020-12-23,91.55,93.13,91.46,93.08,25938199.0,91.55,93.13,91.46,93.08
38.0,AMD,2020-12-30,2020-12-31,18716.0,7419.0,92.0,6749.0,6082.0,0.57126306,AMD,2020-12-30,92.29,92.85,90.19,90.78,25838745.0,92.29,92.85,90.19,90.78
39.0,AMD,2021-01-06,2021-01-08,14188.0,5259.0,92.0,8840.0,2116.0,0.347908277,AMD,2021-01-06,90.33,92.28,89.46,91.62,51877031.0,90.33,92.28,89.46,91.62
60.0,AMD,2021-01-13,2021-01-15,17244.0,3115.0,93.0,6688.0,3153.0,0.399171594,AMD,2021-01-13,91.78,93.89,90.84,93.01,60480703.0,91.78,93.89,90.84,93.01
45.0,AMD,2021-01-20,2021-01-22,6133.0,3052.0,90.5,10115.0,1136.0,0.302875681,AMD,2021-01-20,88.75,90.78,88.6,90.55,35145328.0,88.75,90.78,88.6,90.55
37.0,AMD,2021-01-27,2021-01-29,8221.0,3520.0,91.0,3198.0,1824.0,0.313744592,AMD,2021-01-27,88.84,91.88,86.22,91.1,73141805.0,88.84,91.88,86.22,91.1
32.0,AMD,2021-02-03,2021-02-05,9662.0,4243.0,89.0,2577.0,1242.0,0.345932367,AMD,2021-02-03,87.89,89.48,87.34,88.6,32224799.0,87.89,89.48,87.34,88.6
49.0,AMD,2021-02-10,2021-02-12,34050.0,10382.0,93.0,479.0,2961.0,0.365700504,AMD,2021-02-10,92.35,93.27,90.46,91.5,42400125.0,92.35,93.27,90.46,91.5
31.0,AMD,2021-02-17,2021-02-19,2202.0,2220.0,89.0,2901.0,2851.0,0.661792498,AMD,2021-02-17,89.94,90.96,88.57,90.56,32270097.0,89.94,90.96,88.57,90.56
30.0,AMD,2021-02-24,2021-02-26,6363.0,3655.0,87.0,2914.0,362.0,0.44099654,AMD,2021-02-24,86.94,87.09,82.81,84.33,40793094.0,86.94,87.09,82.81,84.33
29.0,AMD,2021-03-03,2021-03-05,3832.0,794.0,83.5,964.0,1785.0,0.258004065,AMD,2021-03-03,80.86,84.38,80.85,84.28,43516131.0,80.86,84.38,80.85,84.28
